,mean_accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/lr,config/momentum,logdir
31,0.1,1708420426,,True,1,57289_00031,2024-02-20_10-13-46,0.16309595108032227,0.16309595108032227,74277,mikhail.local,192.168.100.19,0.16309595108032227,1,0.00034888810069079413,0.14892413125006787,57289_00031
32,0.06875,1708420426,,True,1,57289_00032,2024-02-20_10-13-46,0.09619712829589844,0.09619712829589844,74275,mikhail.local,192.168.100.19,0.09619712829589844,1,0.0009194864025567689,0.12758207042124017,57289_00032
33,0.109375,1708420426,,True,1,57289_00033,2024-02-20_10-13-46,0.08554792404174805,0.08554792404174805,74277,mikhail.local,192.168.100.19,0.08554792404174805,1,0.0002917480907318545,0.7184734565425717,57289_00033
34,0.078125,1708420426,,True,1,57289_00034,2024-02-20_10-13-46,0.13900494575500488,0.13900494575500488,74275,mikhail.local,192.168.100.19,0.13900494575500488,1,0.0008065302958531458,0.4072236750251984,57289_00034
35,0.084375,1708420426,,True,1,57289_00035,2024-02-20_10-13-46,0.0884397029876709,0.0884397029876709,74277,mikhail.local,192.168.100.19,0.0884397029876709,1,0.0018156983438382878,0.2988246304576371,57289_00035
36,0.89375,1708420430,,True,64,57289_00036,2024-02-20_10-13-50,0.0715641975402832,4.270240545272827,74279,mikhail.local,192.168.100.19,4.270240545272827,64,0.008966094554485856,0.31007671659672675,57289_00036
37,0.85,1708420427,,True,16,57289_00037,2024-02-20_10-13-47,0.06619906425476074,1.1555635929107666,74275,mikhail.local,192.168.100.19,1.1555635929107666,16,0.005844542835518295,0.7736310491454989,57289_00037
38,0.134375,1708420426,,True,4,57289_00038,2024-02-20_10-13-46,0.0702672004699707,0.30075526237487793,74277,mikhail.local,192.168.100.19,0.30075526237487793,4,0.0008248244073226366,0.6018380654844433,57289_00038
39,0.090625,1708420426,,True,1,57289_00039,2024-02-20_10-13-46,0.08740806579589844,0.08740806579589844,74277,mikhail.local,192.168.100.19,0.08740806579589844,1,0.0041122800203305864,0.3897897477717146,57289_00039
40,0.084375,1708420426,,True,1,57289_00040,2024-02-20_10-13-46,0.08588171005249023,0.08588171005249023,74278,mikhail.local,192.168.100.19,0.08588171005249023,1,0.0002780777409368461,0.2766019370363238,57289_00040
41,0.1,1708420426,,True,1,57289_00041,2024-02-20_10-13-46,0.14214086532592773,0.14214086532592773,74277,mikhail.local,192.168.100.19,0.14214086532592773,1,0.001701229907440921,0.8653710584566902,57289_00041
42,0.309375,1708420427,,True,4,57289_00042,2024-02-20_10-13-47,0.07150602340698242,0.2996790409088135,74278,mikhail.local,192.168.100.19,0.2996790409088135,4,0.0027197574940168705,0.3342321583863688,57289_00042
43,0.10625,1708420427,,True,1,57289_00043,2024-02-20_10-13-47,0.08666515350341797,0.08666515350341797,74277,mikhail.local,192.168.100.19,0.08666515350341797,1,0.0023775794888446986,0.11294996164546625,57289_00043
44,0.1,1708420427,,True,1,57289_00044,2024-02-20_10-13-47,0.08740472793579102,0.08740472793579102,74277,mikhail.local,192.168.100.19,0.08740472793579102,1,0.00010890596098934244,0.14873912967662284,57289_00044
45,0.0875,1708420427,,True,1,57289_00045,2024-02-20_10-13-47,0.08973503112792969,0.08973503112792969,74277,mikhail.local,192.168.100.19,0.08973503112792969,1,0.0013315789494782381,0.6987397809053153,57289_00045
46,0.11875,1708420427,,True,1,57289_00046,2024-02-20_10-13-47,0.08428788185119629,0.08428788185119629,74278,mikhail.local,192.168.100.19,0.08428788185119629,1,0.0002096924338809841,0.5906538214224681,57289_00046
47,0.05,1708420427,,True,1,57289_00047,2024-02-20_10-13-47,0.0852060317993164,0.0852060317993164,74277,mikhail.local,192.168.100.19,0.0852060317993164,1,0.0005688956138494175,0.6427532304711334,57289_00047
48,0.103125,1708420427,,True,1,57289_00048,2024-02-20_10-13-47,0.08613920211791992,0.08613920211791992,74278,mikhail.local,192.168.100.19,0.08613920211791992,1,0.0009347221131517613,0.5231939934867408,57289_00048
49,0.065625,1708420427,,True,1,57289_00049,2024-02-20_10-13-47,0.08718585968017578,0.08718585968017578,74277,mikhail.local,192.168.100.19,0.08718585968017578,1,0.00026262515057859956,0.10187747582641543,57289_00049
